[2014-03-08 01:16:34]	Other thread is under initialization
[2014-03-08 17:18:11]	北京理工大学 daxue
[2014-03-08 17:18:11]	微博 n
[2014-03-08 17:18:11]	包邮 v
[2014-03-08 17:18:11]	惠新东街十号 n
[2014-03-08 18:00:27]	北京理工大学 daxue
[2014-03-08 18:00:27]	微博 n
[2014-03-08 18:00:27]	包邮 v
[2014-03-08 18:00:27]	惠新东街十号 n
[2014-03-08 18:00:33]	北京理工大学 daxue
[2014-03-08 18:00:33]	微博 n
[2014-03-08 18:00:33]	包邮 v
[2014-03-08 18:00:33]	惠新东街十号 n
[2014-03-08 18:01:21]	北京理工大学 daxue
[2014-03-08 18:01:21]	微博 n
[2014-03-08 18:01:21]	包邮 v
[2014-03-08 18:01:21]	惠新东街十号 n
[2014-03-08 18:01:21]	吃饭 vi->v
